June 2024 (High SNR),,,,,,
Name,Symbol,Open,Close,Change,Percent,SNR
Invitation Homes,INVH,34.77,35.89,1.12,3.2%,25%
McKesson Corporation,MCK,565.78,584.04,18.26,3.2%,24%
Home Depot (The),HD,333.65,344.24,10.59,3.2%,12%
Expeditors International,EXPD,121.05,124.79,3.74,3.1%,22%
Teradyne,TER,143.84,148.29,4.45,3.1%,18%
Waste Management,WM,207,213.34,6.34,3.1%,11%
UnitedHealth Group,UNH,494.13,509.26,15.13,3.1%,10%
Vertex Pharmaceuticals,VRTX,455,468.72,13.72,3.0%,22%
Ecolab,ECL,231.29,238,6.71,2.9%,25%
Biogen,BIIB,225.3,231.82,6.52,2.9%,15%
Cintas,CTAS,681.21,700.26,19.05,2.8%,36%
Cognizant,CTSH,66.15,68,1.85,2.8%,18%
Kimberly-Clark,KMB,134.62,138.2,3.58,2.7%,25%
Rockwell Automation,ROK,268.1,275.28,7.18,2.7%,21%
Micron Technology,MU,128.13,131.53,3.4,2.7%,11%
PTC,PTC,177,181.67,4.67,2.6%,21%
Verisign,VRSN,173.36,177.8,4.44,2.6%,20%
CarMax,KMX,71.5,73.34,1.84,2.6%,19%
Arthur J. Gallagher & Co.,AJG,252.77,259.31,6.54,2.6%,16%
Williams Companies,WMB,41.46,42.5,1.04,2.5%,19%
Ford Motor Company,F,12.25,12.54,0.29,2.4%,16%
Juniper Networks,JNPR,35.64,36.46,0.82,2.3%,22%
Boston Scientific,BSX,75.36,77.01,1.65,2.2%,24%
Ventas,VTR,50.16,51.26,1.1,2.2%,19%
Boeing,BA,178.09,182.01,3.92,2.2%,12%
Schlumberger,SLB,46.15,47.18,1.03,2.2%,10%
Supermicro,SMCI,802,819.35,17.35,2.2%,10%
Copart,CPRT,53.06,54.16,1.1,2.1%,20%
Blackstone,BX,121.31,123.8,2.49,2.1%,14%
Domino's,DPZ,505.5,516.33,10.83,2.1%,11%
FactSet,FDS,400,408.27,8.27,2.1%,7%
Kinder Morgan,KMI,19.48,19.87,0.39,2.0%,22%
Zoetis,ZTS,170.04,173.36,3.32,2.0%,9%
Intercontinental Exchange,ICE,134.4,136.89,2.49,1.9%,21%
Truist,TFC,38.11,38.85,0.74,1.9%,9%
3M,MMM,100.37,102.19,1.82,1.8%,21%
Amgen,AMGN,306.79,312.45,5.66,1.8%,15%
Marsh McLennan,MMC,207.13,210.72,3.59,1.7%,17%
Cisco,CSCO,46.72,47.51,0.79,1.7%,16%
Abbott,ABT,102.17,103.91,1.74,1.7%,11%
"F5, Inc.",FFIV,169.55,172.23,2.68,1.6%,25%
"Nasdaq, Inc.",NDAQ,59.3,60.26,0.96,1.6%,14%
Campbell Soup Company,CPB,44.5,45.19,0.69,1.6%,13%
CH Robinson,CHRW,86.77,88.12,1.35,1.6%,11%
Coca-Cola Company (The),KO,62.71,63.65,0.94,1.5%,17%
Amphenol,APH,66.39,67.37,0.99,1.5%,16%
CenterPoint Energy,CNP,30.51,30.98,0.47,1.5%,12%
Ansys,ANSS,316.74,321.5,4.76,1.5%,10%
Elevance Health,ELV,533.97,541.86,7.89,1.5%,10%
Prologis,PLD,110.77,112.31,1.54,1.4%,11%
Hologic,HOLX,73.26,74.25,0.99,1.4%,8%
Boston Properties,BXP,60.79,61.56,0.77,1.3%,10%
Occidental Petroleum,OXY,62.22,63.03,0.81,1.3%,7%
EOG Resources,EOG,124.2,125.87,1.67,1.3%,6%
Regency Centers,REG,61.47,62.2,0.73,1.2%,14%
News Corp (Class B),NWS,28.05,28.39,0.34,1.2%,13%
Jack Henry & Associates,JKHY,164.12,166.02,1.9,1.2%,12%
Linde plc,LIN,434.14,438.81,4.67,1.1%,18%
Fortinet,FTNT,59.61,60.27,0.66,1.1%,11%
BlackRock,BLK,779.49,787.32,7.83,1.0%,12%
T-Mobile US,TMUS,174.5,176.18,1.68,1.0%,11%
Darden Restaurants,DRI,149.85,151.32,1.47,1.0%,9%
Citizens Financial Group,CFG,35.67,36.03,0.36,1.0%,6%
KKR,KKR,104.15,105.24,1.09,1.0%,5%
ONEOK,OKE,80.76,81.55,0.79,1.0%,4%
Teleflex,TFX,208.34,210.33,1.99,1.0%,1%
Bristol Myers Squibb,BMY,41.16,41.53,0.37,0.9%,10%
Citigroup,C,62.92,63.46,0.54,0.9%,6%
Diamondback Energy,FANG,198.45,200.19,1.74,0.9%,4%
MarketAxess,MKTX,199.01,200.53,1.52,0.8%,4%
News Corp (Class A),NWSA,27.39,27.57,0.18,0.7%,12%
Charles Schwab Corporation,SCHW,73.21,73.69,0.48,0.7%,8%
Cincinnati Financial,CINF,117.32,118.1,0.78,0.7%,5%
Capital One,COF,137.43,138.45,1.02,0.7%,0%
Atmos Energy,ATO,115.92,116.65,0.73,0.6%,13%
Procter & Gamble,PG,163.93,164.92,0.99,0.6%,12%
GoDaddy,GDDY,138.84,139.71,0.87,0.6%,5%
Mettler Toledo,MTD,1388.92,1397.59,8.67,0.6%,4%
CBRE Group,CBRE,88.64,89.11,0.47,0.5%,7%
Bank of New York Mellon,BK,59.59,59.89,0.3,0.5%,6%
Welltower,WELL,103.76,104.25,0.49,0.5%,6%
Kimco Realty,KIM,19.36,19.46,0.1,0.5%,4%
Raymond James,RJF,122.95,123.61,0.66,0.5%,2%
Trimble Inc.,TRMB,55.68,55.92,0.24,0.4%,4%
Lowe's,LOW,219.69,220.46,0.77,0.4%,1%
TE Connectivity,TEL,150,150.43,0.43,0.3%,5%
Cencora,COR,224.72,225.3,0.58,0.3%,2%
Simon Property Group,SPG,151.35,151.8,0.45,0.3%,2%
Stryker Corporation,SYK,339.38,340.25,0.87,0.3%,0%
Jacobs Solutions,J,139.43,139.71,0.28,0.2%,10%
Brown & Brown,BRO,89.23,89.41,0.18,0.2%,5%
Gen Digital,GEN,24.94,24.98,0.04,0.2%,2%
Lockheed Martin,LMT,466,467.1,1.1,0.2%,2%
Verizon,VZ,41.18,41.24,0.06,0.1%,5%
CDW,CDW,223.52,223.84,0.32,0.1%,4%
Philip Morris International,PM,101.24,101.33,0.09,0.1%,4%
Western Digital,WDC,75.78,75.77,-0.01,0.0%,7%
Old Dominion,ODFL,176.53,176.6,0.07,0.0%,5%
Federal Realty,FRT,100.95,100.97,0.02,0.0%,3%
Corpay,CPAY,266.36,266.41,0.05,0.0%,2%
M&T Bank,MTB,151.4,151.36,-0.04,0.0%,1%
JPMorgan Chase,JPM,202.31,202.26,-0.05,0.0%,0%
CVS Health,CVS,59.13,59.06,-0.07,-0.1%,5%
Intel,INTC,31.03,30.97,-0.06,-0.2%,9%
GE HealthCare,GEHC,78.06,77.92,-0.14,-0.2%,3%
Valero Energy,VLO,157.05,156.76,-0.29,-0.2%,3%
Chipotle Mexican Grill,CMG,62.78,62.65,-0.13,-0.2%,2%
Garmin,GRMN,163.31,162.92,-0.39,-0.2%,-1%
L3Harris,LHX,225.33,224.58,-0.75,-0.3%,7%
Cardinal Health,CAH,98.57,98.32,-0.25,-0.3%,2%
Newmont,NEM,42.01,41.87,-0.14,-0.3%,1%
Bunge Global SA,BG,107.09,106.77,-0.32,-0.3%,0%
Fiserv,FI,149.48,149.04,-0.44,-0.3%,0%
Agilent Technologies,A,130,129.63,-0.37,-0.3%,-4%
Fox Corporation (Class B),FOX,32.14,32.02,-0.12,-0.4%,4%
Aflac,AFL,89.71,89.31,-0.4,-0.4%,2%
Host Hotels & Resorts,HST,18.05,17.98,-0.07,-0.4%,2%
SBA Communications,SBAC,197.09,196.3,-0.79,-0.4%,1%
Vici Properties,VICI,28.75,28.64,-0.11,-0.4%,0%
Live Nation Entertainment,LYV,94.12,93.74,-0.38,-0.4%,-1%
Becton Dickinson,BDX,235,233.71,-1.29,-0.5%,6%
John Deere,DE,375.36,373.63,-1.73,-0.5%,4%
Leidos,LDOS,146.67,145.88,-0.79,-0.5%,1%
West Pharmaceutical Services,WST,331.04,329.39,-1.65,-0.5%,0%
Mastercard,MA,443.48,441.16,-2.32,-0.5%,-3%
Viatris,VTRS,10.69,10.63,-0.06,-0.6%,3%
CSX,CSX,33.66,33.45,-0.21,-0.6%,-3%
eBay,EBAY,54.05,53.72,-0.33,-0.6%,-4%
Bank of America,BAC,40.04,39.77,-0.27,-0.7%,2%
Fortive,FTV,74.6,74.1,-0.5,-0.7%,0%
Realty Income,O,53.17,52.82,-0.35,-0.7%,0%
Johnson & Johnson,JNJ,147.25,146.16,-1.09,-0.7%,-1%
Fidelity National Information Services,FIS,75.92,75.36,-0.56,-0.7%,-2%
Tyson Foods,TSN,57.53,57.14,-0.39,-0.7%,-3%
Trane Technologies,TT,331.53,328.93,-2.6,-0.8%,10%
American Tower,AMT,196,194.38,-1.62,-0.8%,2%
Dayforce,DAY,50,49.6,-0.4,-0.8%,0%
Packaging Corporation of America,PKG,184.06,182.56,-1.5,-0.8%,0%
Phillips 66,PSX,142.28,141.17,-1.11,-0.8%,0%
Fox Corporation (Class A),FOXA,34.63,34.37,-0.26,-0.8%,-1%
Northern Trust,NTRS,84.63,83.98,-0.65,-0.8%,-1%
Alliant Energy,LNT,51.3,50.9,-0.4,-0.8%,-2%
International Flavors & Fragrances,IFF,95.94,95.21,-0.73,-0.8%,-2%
Pinnacle West,PNW,76.99,76.38,-0.61,-0.8%,-20%
Texas Instruments,TXN,196.37,194.53,-1.84,-0.9%,4%
NiSource,NI,29.06,28.81,-0.25,-0.9%,3%
J.B. Hunt,JBHT,161.41,160,-1.41,-0.9%,1%
Match Group,MTCH,30.69,30.38,-0.31,-1.0%,0%
Morgan Stanley,MS,98.16,97.19,-0.97,-1.0%,-3%
ExxonMobil,XOM,116.3,115.12,-1.18,-1.0%,-4%
Globe Life,GL,83.21,82.28,-0.93,-1.1%,0%
Marathon Oil,MRO,29,28.67,-0.33,-1.1%,0%
Sempra Energy,SRE,76.94,76.06,-0.88,-1.1%,-1%
Altria,MO,46.04,45.55,-0.49,-1.1%,-5%
"NVR, Inc.",NVR,7677.18,7588.56,-88.62,-1.2%,1%
McDonald's,MCD,257.93,254.84,-3.09,-1.2%,-3%
Carrier Global,CARR,63.92,63.08,-0.84,-1.3%,2%
Paychex,PAYX,120.14,118.56,-1.58,-1.3%,-3%
Equinix,EQIX,766.66,756.6,-10.06,-1.3%,-5%
Wells Fargo,WFC,60.2,59.39,-0.81,-1.3%,-5%
Baxter International,BAX,33.9,33.45,-0.45,-1.3%,-7%
Healthpeak,DOC,19.85,19.6,-0.25,-1.3%,-7%
Steris,STE,222.39,219.54,-2.85,-1.3%,-11%
Goldman Sachs,GS,458.87,452.32,-6.55,-1.4%,-1%
Broadridge Financial Solutions,BR,199.89,197,-2.89,-1.4%,-5%
American Water Works,AWK,131.13,129.16,-1.97,-1.5%,-2%
Charles River Laboratories,CRL,209.65,206.58,-3.07,-1.5%,-4%
Sysco,SYY,72.49,71.39,-1.1,-1.5%,-4%
Merck & Co.,MRK,125.77,123.8,-1.97,-1.6%,-1%
Nordson Corporation,NDSN,235.73,231.94,-3.79,-1.6%,-4%
PNC Financial Services,PNC,158,155.48,-2.52,-1.6%,-4%
ConocoPhillips,COP,116.26,114.38,-1.88,-1.6%,-5%
Zebra Technologies,ZBRA,314.1,308.93,-5.17,-1.6%,-5%
Idexx Laboratories,IDXX,495.28,487.2,-8.08,-1.6%,-9%
Arch Capital Group,ACGL,102.5,100.89,-1.61,-1.6%,-10%
Marathon Petroleum,MPC,176.37,173.48,-2.89,-1.6%,-10%
Best Buy,BBY,85.71,84.29,-1.42,-1.7%,5%
KeyCorp,KEY,14.46,14.21,-0.25,-1.7%,-5%
Cummins,CMI,282,276.93,-5.07,-1.8%,-2%
Progressive Corporation,PGR,211.46,207.71,-3.75,-1.8%,-2%
McCormick & Company,MKC,72.26,70.94,-1.32,-1.8%,-5%
Hormel Foods,HRL,31.04,30.49,-0.55,-1.8%,-19%
Universal Health Services,UHS,188.48,184.93,-3.55,-1.9%,-3%
Ametek,AME,170,166.71,-3.29,-1.9%,-5%
Ameriprise Financial,AMP,435.33,427.19,-8.14,-1.9%,-6%
Dover Corporation,DOV,184.02,180.45,-3.57,-1.9%,-6%
Berkshire Hathaway,BRK-B,414.89,406.8,-8.09,-1.9%,-11%
United Parcel Service,UPS,139.64,136.85,-2.79,-2.0%,-6%
DuPont,DD,82.14,80.49,-1.65,-2.0%,-10%
Cboe Global Markets,CBOE,173.6,170.06,-3.54,-2.0%,-13%
Las Vegas Sands,LVS,45.22,44.25,-0.97,-2.1%,-4%
A. O. Smith,AOS,83.52,81.78,-1.74,-2.1%,-6%
Comcast,CMCSA,40,39.16,-0.84,-2.1%,-6%
Sherwin-Williams,SHW,304.98,298.43,-6.55,-2.1%,-6%
Hasbro,HAS,59.78,58.5,-1.28,-2.1%,-8%
Alexandria Real Estate Equities,ARE,119.52,116.97,-2.55,-2.1%,-9%
Hartford (The),HIG,102.71,100.54,-2.17,-2.1%,-10%
State Street Corporation,STT,75.55,74,-1.55,-2.1%,-10%
Dollar General,DG,135.18,132.23,-2.95,-2.2%,-5%
J.M. Smucker Company (The),SJM,111.47,109.04,-2.43,-2.2%,-5%
W. W. Grainger,GWW,922.69,902.24,-20.45,-2.2%,-5%
Emerson Electric,EMR,112.69,110.16,-2.53,-2.2%,-6%
Keysight,KEYS,139.87,136.75,-3.12,-2.2%,-8%
Automatic Data Processing,ADP,244.17,238.69,-5.48,-2.2%,-9%
LyondellBasell,LYB,97.79,95.66,-2.13,-2.2%,-13%
Ulta Beauty,ULTA,394.4,385.87,-8.53,-2.2%,-19%
American Airlines Group,AAL,11.6,11.33,-0.27,-2.3%,-7%
"Tapestry, Inc.",TPR,43.79,42.79,-1,-2.3%,-8%
Caterpillar Inc.,CAT,340.87,333.1,-7.77,-2.3%,-10%
Starbucks,SBUX,79.68,77.85,-1.83,-2.3%,-11%
Akamai,AKAM,92.24,90.08,-2.16,-2.3%,-14%
NXP Semiconductors,NXPI,275.62,269.09,-6.53,-2.4%,-1%
Textron,TXT,87.96,85.86,-2.1,-2.4%,-8%
Pfizer,PFE,28.66,27.98,-0.68,-2.4%,-9%
Loews Corporation,L,76.59,74.74,-1.85,-2.4%,-10%
Keurig Dr Pepper,KDP,34.21,33.4,-0.81,-2.4%,-12%
Illinois Tool Works,ITW,242.89,236.96,-5.93,-2.4%,-13%
Public Service Enterprise Group,PEG,75.51,73.7,-1.81,-2.4%,-16%
MSCI,MSCI,494.22,481.75,-12.47,-2.5%,-12%
Teledyne Technologies,TDY,397.94,387.98,-9.96,-2.5%,-14%
T. Rowe Price,TROW,118.35,115.31,-3.04,-2.6%,-6%
U.S. Bank,USB,40.76,39.7,-1.06,-2.6%,-6%
Archer-Daniels-Midland,ADM,62.05,60.45,-1.6,-2.6%,-13%
Everest Re,EG,391,381.02,-9.98,-2.6%,-15%
Ingersoll Rand,IR,93.36,90.84,-2.52,-2.7%,-5%
Church & Dwight,CHD,106.6,103.68,-2.92,-2.7%,-15%
American Electric Power,AEP,90.16,87.74,-2.42,-2.7%,-16%
Target Corporation,TGT,152.09,148.04,-4.05,-2.7%,-16%
Devon Energy,DVN,48.79,47.4,-1.39,-2.8%,-11%
Prudential Financial,PRU,120.58,117.19,-3.39,-2.8%,-11%
Otis Worldwide,OTIS,99.08,96.26,-2.82,-2.8%,-16%
Southern Company,SO,79.78,77.57,-2.21,-2.8%,-21%
Duke Energy,DUK,103.09,100.23,-2.86,-2.8%,-25%
Analog Devices,ADI,235.09,228.26,-6.83,-2.9%,-7%
Danaher Corporation,DHR,257.24,249.85,-7.39,-2.9%,-9%
W. R. Berkley Corporation,WRB,80.92,78.58,-2.34,-2.9%,-13%
Cigna,CI,340.61,330.57,-10.04,-2.9%,-14%
Union Pacific Corporation,UNP,233,226.26,-6.74,-2.9%,-14%
Thermo Fisher Scientific,TMO,569.39,553,-16.39,-2.9%,-15%
Northrop Grumman,NOC,449.2,435.95,-13.25,-2.9%,-21%
Quest Diagnostics,DGX,140.92,136.88,-4.04,-2.9%,-27%
Take-Two Interactive,TTWO,160.25,155.49,-4.76,-3.0%,-11%
Evergy,EVRG,54.59,52.97,-1.62,-3.0%,-19%
Paycom,PAYC,147.4,143.04,-4.36,-3.0%,-23%
Vulcan Materials Company,VMC,256.73,248.68,-8.05,-3.1%,-7%
Air Products and Chemicals,APD,266.26,258.05,-8.21,-3.1%,-8%
Chevron Corporation,CVX,161.49,156.42,-5.07,-3.1%,-15%
MetLife,MET,72.4,70.19,-2.21,-3.1%,-15%
WEC Energy Group,WEC,80.98,78.46,-2.52,-3.1%,-23%
CME Group,CME,203.2,196.6,-6.6,-3.2%,-29%
Corteva,CTVA,55.76,53.94,-1.82,-3.3%,-12%
LKQ Corporation,LKQ,43.03,41.59,-1.44,-3.3%,-14%
Omnicom Group,OMC,92.78,89.7,-3.08,-3.3%,-17%
Ameren,AEE,73.52,71.11,-2.41,-3.3%,-20%
Steel Dynamics,STLD,134,129.5,-4.5,-3.4%,-10%
Fifth Third Bank,FITB,37.79,36.49,-1.3,-3.4%,-11%
NRG Energy,NRG,80.63,77.86,-2.77,-3.4%,-11%
Medtronic,MDT,81.51,78.71,-2.8,-3.4%,-19%
Yum! Brands,YUM,137.14,132.46,-4.68,-3.4%,-21%
Huntington Ingalls Industries,HII,255.18,246.33,-8.85,-3.5%,-10%
Eastman Chemical Company,EMN,101.5,97.97,-3.53,-3.5%,-11%
Hess Corporation,HES,152.87,147.52,-5.35,-3.5%,-17%
Xcel Energy,XEL,55.32,53.41,-1.91,-3.5%,-22%
Allegion,ALLE,122.51,118.15,-4.36,-3.6%,-10%
Monster Beverage,MNST,51.81,49.95,-1.86,-3.6%,-13%
IDEX Corporation,IEX,208.67,201.2,-7.47,-3.6%,-15%
American Express,AXP,240.18,231.55,-8.63,-3.6%,-18%
General Dynamics,GD,300.89,290.14,-10.75,-3.6%,-18%
Amcor,AMCR,10.14,9.78,-0.36,-3.6%,-20%
Tractor Supply,TSCO,280.42,270,-10.42,-3.7%,-12%
Kellanova,K,59.93,57.68,-2.25,-3.8%,-26%
APA Corporation,APA,30.65,29.44,-1.21,-3.9%,-11%
Visa Inc.,V,273.09,262.47,-10.62,-3.9%,-17%
Xylem Inc.,XYL,141.2,135.63,-5.57,-3.9%,-18%
Assurant,AIZ,173.04,166.25,-6.79,-3.9%,-21%
Lululemon Athletica,LULU,311.26,298.7,-12.56,-4.0%,-11%
Dexcom,DXCM,118.16,113.38,-4.78,-4.0%,-17%
Principal Financial Group,PFG,81.75,78.45,-3.3,-4.0%,-19%
Kroger,KR,52,49.93,-2.07,-4.0%,-23%
GE Vernova,GEV,178.93,171.51,-7.42,-4.1%,-2%
HP Inc.,HPQ,36.5,35.02,-1.48,-4.1%,-16%
Revvity,RVTY,109.39,104.86,-4.53,-4.1%,-18%
Mondelez International,MDLZ,68.27,65.44,-2.83,-4.1%,-23%
United Rentals,URI,675,646.73,-28.27,-4.2%,-9%
Avery Dennison,AVY,228.32,218.65,-9.67,-4.2%,-17%
Brown–Forman,BF-B,45.07,43.19,-1.88,-4.2%,-17%
PPG Industries,PPG,131.4,125.89,-5.51,-4.2%,-20%
GE Aerospace,GE,166.12,158.97,-7.15,-4.3%,-9%
International Paper,IP,45.08,43.15,-1.93,-4.3%,-10%
Paccar,PCAR,107.62,102.94,-4.68,-4.3%,-17%
IQVIA,IQV,220.86,211.44,-9.42,-4.3%,-20%
Eversource,ES,59.27,56.71,-2.56,-4.3%,-21%
Allstate,ALL,166.88,159.66,-7.22,-4.3%,-22%
Snap-on,SNA,273.47,261.39,-12.08,-4.4%,-23%
PepsiCo,PEP,172.72,164.93,-7.79,-4.5%,-23%
Entergy,ETR,112.03,107,-5.03,-4.5%,-35%
DR Horton,DHI,147.8,140.93,-6.87,-4.6%,-14%
Genuine Parts Company,GPC,144.94,138.32,-6.62,-4.6%,-17%
Global Payments,GPN,101.39,96.7,-4.69,-4.6%,-24%
FirstEnergy,FE,40.11,38.27,-1.84,-4.6%,-41%
HCA Healthcare,HCA,337.26,321.28,-15.98,-4.7%,-12%
Fastenal,FAST,65.91,62.84,-3.07,-4.7%,-17%
Lamb Weston,LW,88.26,84.08,-4.18,-4.7%,-21%
Walt Disney Company (The),DIS,104.17,99.29,-4.88,-4.7%,-22%
DTE Energy,DTE,116.49,111.01,-5.48,-4.7%,-25%
Molina Healthcare,MOH,312.01,297.3,-14.71,-4.7%,-29%
Bio-Rad,BIO,286.96,273.11,-13.85,-4.8%,-18%
Advanced Micro Devices,AMD,170.82,162.21,-8.61,-5.0%,-5%
Qualcomm,QCOM,209.56,199.18,-10.38,-5.0%,-5%
Masco,MAS,70.18,66.67,-3.51,-5.0%,-15%
Kenvue,KVUE,19.14,18.18,-0.96,-5.0%,-23%
Norfolk Southern Railway,NSC,226.16,214.69,-11.47,-5.1%,-18%
Crown Castle,CCI,102.99,97.7,-5.29,-5.1%,-22%
Martin Marietta Materials,MLM,571.34,541.8,-29.54,-5.2%,-16%
Travelers Companies (The),TRV,214.6,203.34,-11.26,-5.2%,-30%
Zimmer Biomet,ZBH,114.5,108.53,-5.97,-5.2%,-33%
Parker Hannifin,PH,534.1,505.81,-28.29,-5.3%,-15%
Veralto,VLTO,100.85,95.47,-5.38,-5.3%,-20%
Conagra Brands,CAG,30,28.42,-1.58,-5.3%,-28%
