sym,open,close,change,percent,snr,flow
ULTA,364.64,352.84,-11.8,-0.032,-0.06,12561622936
CDNS,266.24,268.93,2.69,0.01,0.02,12540514405
LOW,246.83,248.5,1.67,0.007,0.04,12516304771
BMY,47.8,49.95,2.15,0.045,0.15,12453982784
MCK,621,561.08,-59.92,-0.096,-0.17,12430179794
MCHP,87.5,82.16,-5.34,-0.061,-0.11,12396515854
PM,115.78,123.29,7.51,0.065,0.43,12283643884
HON,204.33,207.91,3.58,0.018,0.08,12229944363
SHW,351.38,369.37,17.99,0.051,0.25,12184791080
GM,44.67,49.78,5.11,0.114,0.24,12184486314
DHR,279.26,269.31,-9.95,-0.036,-0.16,12142339303
IBM,192.81,202.13,9.32,0.048,0.22,12106207000
K,60.1,80.61,20.51,0.341,0.41,11984257958
REGN,1060.86,1184.69,123.83,0.117,0.36,11901716128
ANET,350.5,353.38,2.88,0.008,0.04,11849857411
SCHW,65.2,65.1,-0.1,-0.002,-0,11787353839
CVNA,147.34,150.62,3.28,0.022,0.15,11734311068
AMT,222.8,224.06,1.26,0.006,0.06,11732799386
NEE,76.32,80.51,4.19,0.055,0.25,11710432977
TRUE,19.31,19.9,0.59,0.031,0.16,11604051512
LMT,544.04,568.1,24.06,0.044,0.43,11424042484
PGR,216.5,252.2,35.7,0.165,0.65,11401658228
SPGI,489.91,513.24,23.33,0.048,0.28,11394150924
UPS,131.04,128.55,-2.49,-0.019,-0.06,11238863733
MPWR,842.25,934.68,92.43,0.11,0.17,11213325195
MS,103.75,103.61,-0.14,-0.001,-0,10930957254
MDT,80.69,88.58,7.89,0.098,0.53,10877890058
CVS,60.88,57.24,-3.64,-0.06,-0.23,10719857921
DG,121.55,82.97,-38.58,-0.317,-0.22,10542415247
CI,336,361.81,25.81,0.077,0.1,10366919846
UNP,247.37,256.09,8.72,0.035,0.14,10346740548
ON,76.28,77.87,1.59,0.021,0,10263763287
FCX,45.12,44.28,-0.84,-0.019,-0.07,10142394017
MMM,127.5,134.69,7.19,0.056,0.29,10089726337
VST,79.48,85.43,5.95,0.075,0.11,9622206889
SQ,61.99,66.08,4.09,0.066,0.15,9578370244
EL,99.66,91.66,-8,-0.08,-0.2,9566281366
APH,63.93,67.45,3.52,0.055,0.07,9189110210
FTNT,58.03,76.71,18.68,0.322,0.27,9170106414
ICE,150.28,161.55,11.27,0.075,0.58,9157616921
BLK,880,901.81,21.81,0.025,0.1,9067900522
GILD,76.11,79,2.89,0.038,0.16,9055908765
WDC,60.34,65.59,5.25,0.087,-0.04,9052288406
CCL,16.79,16.5,-0.29,-0.017,-0.04,9026560377
SYK,330.14,360.42,30.28,0.092,0.48,8983802972
RCL,157.81,164.62,6.81,0.043,0.06,8917711007
MPC,177.34,177.12,-0.22,-0.001,-0.05,8844739230
MDLZ,67.65,71.81,4.16,0.061,0.18,8832161578
MO,49.61,53.77,4.16,0.084,0.51,8812008880
DHI,181.42,188.76,7.34,0.04,0.12,8700567326
DXCM,68.15,69.34,1.19,0.017,0.03,8686496153
EW,63.05,69.96,6.91,0.11,0.36,8463666557
SO,83.92,86.4,2.48,0.03,0.16,8411859623
PH,558.03,600.2,42.17,0.076,0.11,8402712196
ADP,260.38,275.91,15.53,0.06,0.39,8243283584
KKR,123.77,123.77,0,0,-0.02,8172821730
FI,164.17,174.6,10.43,0.064,0.32,8114288058
FISV,164.17,174.6,10.43,0.064,0.32,8099413210
CL,99.55,106.5,6.95,0.07,0.47,8081635496
FSLR,219.1,227.37,8.27,0.038,0.07,7999317828
DUK,109.77,113.95,4.18,0.038,0.21,7995237818
PLD,127.84,127.82,-0.02,-0,0.01,7979711737
EOG,127.12,128.82,1.7,0.013,0.04,7958709692
ELF,173.25,149.79,-23.46,-0.135,-0.13,7938252327
MAR,226.15,234.69,8.54,0.038,0.06,7916017366
EQIX,792.5,834.36,41.86,0.053,0.18,7902649964
HLT,214.66,219.64,4.98,0.023,0.07,7885761397
MDB,246.47,290.79,44.32,0.18,0.13,7878843309
TTD,90.52,104.53,14.01,0.155,0.24,7837100502
ORLY,1130.8,1129.97,-0.83,-0.001,-0.02,7810780946
CSX,35.1,34.27,-0.83,-0.024,-0.14,7780841115
PINS,32.39,32.04,-0.35,-0.011,-0.08,7764430614
VLO,161.11,146.73,-14.38,-0.089,-0.28,7661734547
FDX,303.22,298.77,-4.45,-0.015,-0.07,7631251102
CB,277.91,284.18,6.27,0.023,0.18,7616231886
ADSK,247.09,258.4,11.31,0.046,0.18,7526595876
SLB,48.28,43.99,-4.29,-0.089,-0.27,7514451496
BSX,74.12,81.79,7.67,0.103,0.52,7477436096
CME,194.21,215.74,21.53,0.111,0.64,7384032385
HCA,364.11,395.59,31.48,0.086,0.38,7380218315
MCO,458.6,487.74,29.14,0.064,0.31,7365027090
AZO,3135.07,3181.48,46.41,0.015,0.13,7286898062
ROST,143.71,150.61,6.9,0.048,0.13,7260954373
MNST,51.43,47.13,-4.3,-0.084,-0.15,7220111577
NOC,485.8,523.21,37.41,0.077,0.61,7214935936
ZTS,181.05,183.49,2.44,0.013,0.03,7192879694
NEM,49.25,53.39,4.14,0.084,0.25,7172149198
JCI,71.79,72.85,1.06,0.015,-0.01,7112719846
CHTR,381.14,347.54,-33.6,-0.088,-0.31,7075855666
MMC,223.59,227.51,3.92,0.018,0.12,7052378711
PSX,145.57,140.31,-5.26,-0.036,-0.13,6961918574
WELL,112.4,120.68,8.28,0.074,0.48,6930219545
DAL,43.32,42.49,-0.83,-0.019,-0.05,6918837159
USB,44.92,47.23,2.31,0.051,0.13,6907925013
EMR,117.06,105.39,-11.67,-0.1,-0.27,6907330881
HUM,361.27,354.47,-6.8,-0.019,-0.18,6761998369
O,57.64,62.11,4.47,0.078,0.39,6752910990
TDG,1287.42,1373.21,85.79,0.067,0.17,6736400503
COR,240.1,239.57,-0.53,-0.002,-0.02,6720388591
AEP,98.39,100.28,1.89,0.019,0.1,6670490081
MSI,399.86,442.04,42.18,0.105,0.87,6665827890
AON,330,343.72,13.72,0.042,0.5,6559717401
ANF,149.99,147.57,-2.42,-0.016,-0.02,6523969355
WM,203.22,212.04,8.82,0.043,0.3,6472620325
AAL,10.65,10.62,-0.03,-0.003,-0.02,6465518212
BDX,227.55,242.41,14.86,0.065,0.02,6458292250
LUV,27,28.92,1.92,0.071,0.14,6399839910
SNAP,13.81,9.34,-4.47,-0.324,-0.23,6361409478
DVN,47.12,44.78,-2.34,-0.05,-0.11,6350533474
ALNY,250,262.69,12.69,0.051,0.16,6335968955
HUBS,500,499.07,-0.93,-0.002,0.01,6330911538
ZM,60.44,69.08,8.64,0.143,0.21,6324841678
AIG,76.48,77.05,0.57,0.007,-0.09,6302894096
PNC,181.33,185.09,3.76,0.021,0.05,6298926857
APD,288.61,278.85,-9.76,-0.034,0.11,6291088721
EXPE,126.8,139.09,12.29,0.097,0.13,6272242027
ALL,174.5,188.94,14.44,0.083,0.3,6260992550
COF,151.73,146.93,-4.8,-0.032,-0.08,6246006743
URI,756.63,741.26,-15.37,-0.02,-0.06,6205518686
ALB,94,90.25,-3.75,-0.04,-0.03,6115030790
WSM,152,134.33,-17.67,-0.116,-0.21,6099449013
GD,300,299.36,-0.64,-0.002,0.02,6068739605
LEN,178.08,182.06,3.98,0.022,0.05,6062512822
HSY,192.41,193.06,0.65,0.003,-0.1,6022749259
UAL,45.76,44.04,-1.72,-0.038,-0.07,5994870480
FICO,1554.68,1730.27,175.59,0.113,0.21,5979756886
BLDR,166.64,174,7.36,0.044,0.03,5970943491
CTAS,760.9,805.12,44.22,0.058,0.38,5922272260
APTV,78.98,71.53,-7.45,-0.094,0.03,5910215317
MLM,593.07,534.16,-58.91,-0.099,-0.3,5907227849
KHC,35.04,35.43,0.39,0.011,0.02,5874458643
DPZ,430,414.21,-15.79,-0.037,-0.17,5777377600
ODFL,210.71,192.8,-17.91,-0.085,-0.23,5774167886
ENPH,115.77,121.04,5.27,0.046,0.09,5733227068
BBY,86.74,100.4,13.66,0.157,0.22,5714105937
YUM,133.46,134.92,1.46,0.011,0.08,5683396231
KMI,21.14,21.57,0.43,0.02,0.03,5674847284
MSCI,542.12,580.59,38.47,0.071,0.26,5665250102
KMB,136.12,144.66,8.54,0.063,0.39,5655383610
FANG,201.34,195.11,-6.23,-0.031,-0.09,5610612208
EA,150.73,151.82,1.09,0.007,0.04,5589406110
DLTR,104.24,84.49,-19.75,-0.189,-0.36,5586034762
KEY,16.09,17.06,0.97,0.06,0.06,5579671135
AME,165,171.05,6.05,0.037,-0.05,5572074797
HPQ,35.98,36.18,0.2,0.006,-0.01,5558946902
VMC,273.94,245.21,-28.73,-0.105,-0.29,5557841175
TRGP,135.35,146.9,11.55,0.085,0.2,5550527678
TTWO,150.16,161.71,11.55,0.077,0.16,5537836662
DECK,922.77,959.29,36.52,0.04,0.07,5518690924
CTSH,78,77.77,-0.23,-0.003,0.09,5512641348
EBAY,55.06,59.1,4.04,0.073,0.27,5505662987
LVS,39.67,38.99,-0.68,-0.017,-0.08,5477217325
ROKU,58.59,67.77,9.18,0.157,0.19,5408231263
MET,78.61,77.48,-1.13,-0.014,0.01,5361564101
LNG,182.64,185.26,2.62,0.014,0.03,5358325004
ZS,178.62,199.98,21.36,0.12,0.25,5355540263
PCAR,98.25,96.18,-2.07,-0.021,-0.12,5355487747
ENTG,114.43,115.87,1.44,0.013,0.01,5331880919
OKE,82.58,92.36,9.78,0.118,0.28,5286551731
ECL,232.99,253.18,20.19,0.087,0.46,5245454756
EFX,278.6,307.13,28.53,0.102,0.48,5217675211
WMB,43.11,45.77,2.66,0.062,0.19,5207049434
IDXX,475.33,481.33,6,0.013,0.03,5201862327
BK,65.24,68.22,2.98,0.046,0.17,5164815162
AFL,104.38,110.36,5.98,0.057,0.37,5162653960
NRG,75,85.01,10.01,0.133,0.19,5152796754
CMI,305,312.85,7.85,0.026,0.13,5149707794
CDW,216.15,225.64,9.49,0.044,0.1,5148481363
TER,128.77,136.73,7.96,0.062,0.1,5121063654
NSC,250.35,256.16,5.81,0.023,0.09,5113369278
RMD,212.75,245.02,32.27,0.152,0.43,5111100239
TRV,218.22,228.07,9.85,0.045,0.21,5110288506
ILMN,123,131.4,8.4,0.068,0.14,5099568249
HES,148.75,138.06,-10.69,-0.072,-0.26,5092056393
FIS,77.13,82.45,5.32,0.069,0.24,5085779282
WEC,86.77,93.03,6.26,0.072,0.37,5022647891
STZ,246.09,240.71,-5.38,-0.022,-0.13,5017576045
PSA,298.29,343.72,45.43,0.152,0.76,4993360487
BURL,261.2,268.24,7.04,0.027,0.07,4987558865
CNC,77.47,78.83,1.36,0.018,0.1,4984390580
KEYS,138.75,154.12,15.37,0.111,0.14,4959827215
CNP,27.86,27.3,-0.56,-0.02,-0.11,4954525810
GWW,939.34,984.92,45.58,0.049,-0,4937870105
CELH,46.27,38.03,-8.24,-0.178,-0.36,4929647395
Z,49.5,55.3,5.8,0.117,0.13,4924849213
KDP,34.38,36.61,2.23,0.065,0.53,4915560366
ROP,544.45,554.41,9.96,0.018,0.06,4914626192
EQT,34.43,33.51,-0.92,-0.027,-0.07,4913365258
IR,92,91.45,-0.55,-0.006,-0.19,4911658209
CCI,110.82,112.02,1.2,0.011,0.08,4910329787
HAL,34.45,31.09,-3.36,-0.098,-0.29,4883841634
EXC,36.96,38.09,1.13,0.031,0.12,4817251047
PHM,132.94,131.65,-1.29,-0.01,-0.04,4793710830
STX,102.03,99.55,-2.48,-0.024,-0.06,4782043544
MGM,40.05,37.59,-2.46,-0.061,-0.18,4775004965
PWR,261.01,275.13,14.12,0.054,0.07,4768220916
SRE,80.56,82.18,1.62,0.02,0.11,4721530431
PRU,126.48,121.16,-5.32,-0.042,-0.07,4690913875
OKTA,94.32,78.73,-15.59,-0.165,-0.17,4685654176
TEL,155.04,153.6,-1.44,-0.009,-0.02,4682677365
SWKS,112.41,109.59,-2.82,-0.025,-0.05,4681867594
A,142.24,142.92,0.68,0.005,0.02,4678493682
SPG,155.01,167.35,12.34,0.08,0.28,4664929016
NTAP,126.43,120.72,-5.71,-0.045,-0.09,4659373146
GIS,67,72.29,5.29,0.079,0.33,4626484660
AA,32.95,32.1,-0.85,-0.026,-0.04,4617101612
DLR,150.26,151.61,1.35,0.009,0.06,4607902567
PAYX,127.4,131.2,3.8,0.03,0.1,4592958199
NCLH,18.99,17.89,-1.1,-0.058,-0.06,4585575951
CBOE,183.74,205.4,21.66,0.118,0.4,4585258057
WYNN,82.33,76.88,-5.45,-0.066,-0.2,4570735601
GPN,101.91,111.01,9.1,0.089,0.18,4548003314
KR,54.87,53.21,-1.66,-0.03,-0.16,4518016141
COHR,69.25,77.95,8.7,0.126,0.12,4489666004
TOL,143.95,144.07,0.12,0.001,-0,4471936365
CPRT,52.27,52.96,0.69,0.013,0.06,4450989011
IQV,246.7,251.55,4.85,0.02,0.04,4392276887
D,53.59,55.9,2.31,0.043,0.18,4389399493
AJG,285.37,292.57,7.2,0.025,0.17,4388735298
HPE,19.75,19.37,-0.38,-0.019,-0.05,4380181072
CLX,132.6,158.31,25.71,0.194,0.56,4378393791
CZR,39.75,37.64,-2.11,-0.053,-0.12,4355333695
IRM,105,113.26,8.26,0.079,0.26,4354730496
WAB,160.94,169.57,8.63,0.054,0.15,4344236977
W,49.88,42.55,-7.33,-0.147,-0.31,4338712925
VKTX,56.8,64.12,7.32,0.129,0.12,4336644976
ETSY,63.5,55.09,-8.41,-0.132,-0.33,4335854509
CAH,101.29,112.72,11.43,0.113,0.36,4328890050
PEG,80,80.75,0.75,0.009,0.04,4303727343
NUE,162.57,151.91,-10.66,-0.066,-0.2,4288650045
RSG,194.87,208.21,13.34,0.068,0.5,4277001958
CFG,42.6,43.05,0.45,0.011,0,4261009728
TSCO,264.17,267.55,3.38,0.013,0.08,4247982593
GDDY,146.07,167.41,21.34,0.146,0.45,4225419590
ETR,117.5,120.69,3.19,0.027,0.17,4214284950
DKS,216.66,236.96,20.3,0.094,0.19,4200550946
GLW,40.23,41.85,1.62,0.04,0.11,4191488537
DOW,54.68,53.58,-1.1,-0.02,-0.07,4190277969
SYY,76.99,77.97,0.98,0.013,0.15,4156151337
LPLA,221.52,224.34,2.82,0.013,0.02,4119137768
ITW,247.53,253.18,5.65,0.023,0.13,4109608999
ROK,274.76,272.03,-2.73,-0.01,-0.08,4105775321
AMP,431.39,449.44,18.05,0.042,0.1,4102994536
DRI,147.03,158.15,11.12,0.076,0.24,4094528364
RUN,18.85,20.52,1.67,0.089,0.16,4050600791
LYFT,12.05,11.67,-0.38,-0.032,-0.04,4039707493
ED,98.14,101.56,3.42,0.035,0.17,4029759307
CRL,244.6,197.75,-46.85,-0.192,-0.3,4019542730
BIIB,215.8,204.76,-11.04,-0.051,-0.19,4006476617
IP,46.39,48.42,2.03,0.044,0.15,3994256446
FCNCA,2085.75,2030.7,-55.05,-0.026,-0.09,3982340787
VRSK,261.37,272.82,11.45,0.044,0.14,3904213532
XEL,57.61,61.23,3.62,0.063,0.2,3899031443
SBAC,219.56,226.66,7.1,0.032,0.09,3888151809
ALGN,230.35,237.22,6.87,0.03,0.04,3826507741
AKAM,98.01,101.84,3.83,0.039,0.07,3806104830
HSIC,72.43,70.55,-1.88,-0.026,-0.04,3734545979
HBAN,14.94,14.97,0.03,0.002,-0.02,3720721615
CROX,126.59,146.17,19.58,0.155,0.13,3700803878
NVR,8614.03,9172.46,558.43,0.065,0.23,3696945889
TRU,90.14,96.81,6.67,0.074,0.16,3684204051
UTHR,312.29,363.55,51.26,0.164,0.35,3666769223
BAX,35.95,37.94,1.99,0.055,0.13,3662224540
PSTG,59.38,51.29,-8.09,-0.136,-0.17,3659637869
WBA,11.86,9.25,-2.61,-0.22,-0.46,3658949677
PPL,29.87,31.91,2.04,0.068,0.43,3651364845
INSM,72.85,76.47,3.62,0.05,0.08,3650816890
LYB,99.63,98.7,-0.93,-0.009,-0.04,3643407692
VEEV,192.19,216.44,24.25,0.126,0.24,3622122421
MOH,343.86,349.79,5.93,0.017,0.07,3600047885
PPG,127.62,129.73,2.11,0.017,0.07,3588371033
NTRA,103.08,118.26,15.18,0.147,0.28,3522365945
TSN,61.28,64.31,3.03,0.049,0.23,3494597142
XPO,117.17,114.62,-2.55,-0.022,-0.02,3479796687
SYF,50.84,50.26,-0.58,-0.011,-0.03,3475329565
NDAQ,67.83,72.08,4.25,0.063,0.25,3469133541
SRPT,143.52,135.78,-7.74,-0.054,-0.09,3465224274
MTCH,38.52,37.21,-1.31,-0.034,-0.04,3456931339
HST,16.8,17.7,0.9,0.054,0.04,3451153759
LW,60.06,61.92,1.86,0.031,0.08,3425913017
PODD,194.82,202.77,7.95,0.041,0.08,3418439118
RH,286.07,253.7,-32.37,-0.113,-0.19,3414867029
APA,32.8,28.49,-4.31,-0.131,-0.16,3407899087
CBRE,112.9,115.14,2.24,0.02,0.08,3401154968
BJ,88.35,79.96,-8.39,-0.095,-0.21,3389955933
ES,64.32,67.53,3.21,0.05,0.14,3383626659
MRO,28.22,28.65,0.43,0.015,0.05,3370450505
FTV,71.58,74.4,2.82,0.039,0.14,3360586070
HUBB,395.65,399.92,4.27,0.011,0,3347065890
XYL,133.02,137.53,4.51,0.034,0.09,3336357726
FITB,42.28,42.69,0.41,0.01,0,3322572796
FND,98.07,112.44,14.37,0.147,0.46,3302745392
ARES,152.57,146.4,-6.17,-0.04,-0.11,3299271919
VTR,54.96,62.11,7.15,0.13,0.67,3296276668
DD,84.07,84.25,0.18,0.002,0.01,3266910927
MTD,1523.96,1439.08,-84.88,-0.056,-0.17,3260579160
LSCC,52.12,47.36,-4.76,-0.091,-0.13,3255507571
HIG,111.95,116.1,4.15,0.037,0.2,3255391768
FIVE,72.47,75.43,2.96,0.041,0.07,3248736319
STT,85.3,87.1,1.8,0.021,0.05,3243176752
TWLO,59.58,62.76,3.18,0.053,0.1,3241612363
RF,22.38,23.42,1.04,0.046,0.1,3237732454
EIX,80.5,87.03,6.53,0.081,0.57,3234639049
CLF,15.25,13.06,-2.19,-0.144,-0.29,3229670869
AVB,209.35,225.73,16.38,0.078,0.39,3220679401
WING,386,386.11,0.11,0,0.05,3193380559
THC,150.37,165.84,15.47,0.103,0.31,3189848657
FAST,70.45,68.28,-2.17,-0.031,-0.18,3186126926
NI,31.42,33.06,1.64,0.052,0.3,3179130053
CSL,419.97,423.8,3.83,0.009,0.01,3175876929
QRVO,118.04,115.89,-2.15,-0.018,-0.04,3175162280
GPS,23.64,22.8,-0.84,-0.036,-0.03,3168739909
ADM,62.31,60.99,-1.32,-0.021,-0.07,3157977976
WST,304.13,313.63,9.5,0.031,0.11,3155142024
EXAS,55.23,61.69,6.46,0.117,0.32,3150263873
IT,499.82,491.96,-7.86,-0.016,-0.11,3143623033
UHS,215.11,237.97,22.86,0.106,0.58,3134645680
CHD,98.37,101.88,3.51,0.036,0.19,3125184649
ACGL,96.18,113.09,16.91,0.176,0.71,3123173033
CSGP,78.11,77.3,-0.81,-0.01,-0.07,3118269087
TMDX,164.84,168.06,3.22,0.02,0.23,3107255265
VICI,32.03,33.48,1.45,0.045,0.32,3100785810
NBIX,150.23,127.06,-23.17,-0.154,-0.1,3099387244
ZBH,111.84,115.46,3.62,0.032,0.16,3093158379
AGNC,10.04,10.21,0.17,0.017,0.09,3092776832
DFS,144.23,138.71,-5.52,-0.038,-0.09,3088340999
BR,214.2,212.86,-1.34,-0.006,-0.06,3073874350
NVT,73.95,67.96,-5.99,-0.081,-0.14,3071571479
KSS,21.62,19.39,-2.23,-0.103,-0.24,3045325351
SERV,17.01,8.49,-8.52,-0.501,-0.39,3032188970
RIOT,10.1,7.53,-2.57,-0.254,-0.36,3029009724
CAG,30.02,31.2,1.18,0.039,0.13,3025590497
LYV,97,97.67,0.67,0.007,0.03,3021855598
EXR,162.07,177,14.93,0.092,0.46,3016603001
IFF,100.02,103.99,3.97,0.04,0.13,2991667246
PTC,173.83,179.09,5.26,0.03,-0,2971763072
MTB,172.15,172.11,-0.04,-0,-0.03,2971708582
BMRN,84.4,91.21,6.81,0.081,0.19,2962876846
RL,175.53,171.26,-4.27,-0.024,-0.07,2961144623
JBL,111.86,109.28,-2.58,-0.023,-0.07,2950242442
SAIA,421.8,375.83,-45.97,-0.109,-0.22,2948637634
PLNT,74.3,81.21,6.91,0.093,0.24,2942933173
EAT,67.25,71.52,4.27,0.063,0.05,2938398495
BLD,481.38,393.02,-88.36,-0.184,-0.35,2928916205
GME,22.92,23.42,0.5,0.022,-0,2889868071
HOLX,81.48,81.24,-0.24,-0.003,-0.06,2882870389
JBHT,173.3,173.2,-0.1,-0.001,-0.02,2880776126
LH,220,229.89,9.89,0.045,0.17,2870356856
STLD,132.56,119.51,-13.05,-0.098,-0.26,2859090512
RGEN,168.52,150.93,-17.59,-0.104,-0.19,2833826026
SJM,118.2,114.68,-3.52,-0.03,-0.09,2831328594
ESTC,108.61,76.19,-32.42,-0.298,-0.23,2826971104
VFC,17.08,18.21,1.13,0.066,0.12,2819168919
ATKR,134.75,93.33,-41.42,-0.307,-0.48,2819138405
NTNX,50.57,63.19,12.62,0.25,0.26,2815100858
SFM,100.38,104.05,3.67,0.037,0.13,2811905145
AAP,63.63,45.31,-18.32,-0.288,-0.36,2806570603
CF,76.54,83.09,6.55,0.086,0.2,2774446839
CPB,46.96,49.72,2.76,0.059,0.24,2762005541
GRMN,171.93,183.29,11.36,0.066,0.21,2761893248
DOV,184.02,186.03,2.01,0.011,0,2756773058
PAYC,174.02,162.78,-11.24,-0.065,-0.09,2751499735
CMS,65.11,67.86,2.75,0.042,0.3,2748696906
EQR,70.18,74.88,4.7,0.067,0.39,2732420210
CHRW,98.86,103.51,4.65,0.047,0.23,2711164206
AWK,142.99,143.12,0.13,0.001,0.01,2701680150
OC,187.07,168.73,-18.34,-0.098,-0.2,2694199397
RCM,14.05,14.11,0.06,0.004,0.21,2689054978
EXPD,126.96,123.41,-3.55,-0.028,-0.05,2664354959
EME,375.58,393.06,17.48,0.047,0.09,2646554148
TPR,40.28,40.97,0.69,0.017,0.03,2644173409
ANSS,319.67,321.42,1.75,0.005,0.09,2641461406
X,40.97,37.91,-3.06,-0.075,-0.17,2637424768
AVTR,26.99,25.84,-1.15,-0.043,-0.18,2635968349
OMC,98.14,100.43,2.29,0.023,0.06,2619804761
AES,17.62,17.13,-0.49,-0.028,-0.1,2603073849
ZBRA,350.42,345.38,-5.04,-0.014,-0.07,2600613775
GNRC,155.98,156.53,0.55,0.004,-0.04,2590217908
KMX,85.1,84.55,-0.55,-0.006,-0,2587700205
RJF,116.26,119.57,3.31,0.028,0.09,2587269885
VRSN,187.83,183.9,-3.93,-0.021,-0.07,2584532778
FN,220.26,243.65,23.39,0.106,0.1,2575102953
MAA,141.49,162.37,20.88,0.148,0.59,2555690941
LII,584.36,590.19,5.83,0.01,0,2553656769
