name,sym,open,close,change,percent,snr
Territorial Bancorp,TBNK,8.01,10.04,2.03,0.253,0.43
Univest Corp of Pennsylvania,UVSP,22.81,27.65,4.84,0.212,0.43
Willis Lease Finance,WLFC,69.63,86.28,16.65,0.239,0.43
Willis Lease Finance Corp.,WLFC,69.63,86.28,16.65,0.239,0.43
Alector,ALEC,4.53,6,1.47,0.325,0.42
Alexander and Baldwin,ALEX,16.92,19.71,2.79,0.165,0.42
BPC Acquisition,BERY,59.08,65.72,6.64,0.112,0.42
Consolidated Communications,CNSL,4.4,4.6,0.2,0.045,0.42
Charles River Laboratories International,CRL,207.47,244.1,36.63,0.177,0.42
Donegal,DGICA,12.75,14.73,1.98,0.155,0.42
Equifax,EFX,242.06,279.37,37.31,0.154,0.42
Entergy,ETR,107.45,115.97,8.52,0.079,0.42
FMC,FTI,26.34,29.5,3.16,0.12,0.42
Guidewire Software,GWRE,137.36,150.07,12.71,0.093,0.42
Houlihan Lokey,HLI,135.61,150.25,14.64,0.108,0.42
Heidrick and Struggles International,HSII,31.64,40.14,8.5,0.269,0.42
IAC-InterActiveCorp,IAC,46.9,52.81,5.91,0.126,0.42
LivePerson,LPSN,0.59,1.21,0.62,1.042,0.42
Mohawk Industries,MHK,113.92,161.07,47.15,0.414,0.42
Packaging of America,PKG,183.33,199.87,16.54,0.09,0.42
ServiceMaster Global,SERV,1.98,17.52,15.54,7.848,0.42
Spirit Aerosystems,SPR,34.2,36.25,2.05,0.06,0.42
Tredegar,TG,4.85,5.71,0.86,0.177,0.42
The Hanover Insurance,THG,125.44,137.49,12.05,0.096,0.42
Interface,TILE,14.69,17.28,2.59,0.176,0.42
TeleTech,TTEC,5.86,7.98,2.12,0.362,0.42
United Security Bancshares,UBFO,7.27,8.07,0.8,0.11,0.42
Vicor Corp.,VICR,33.21,42.11,8.9,0.268,0.42
Vertex Pharma,VRTX,467.94,495.72,27.78,0.059,0.42
Westwood,WHG,12.2,13.27,1.07,0.088,0.42
Western New England Bancorp,WNEB,6.82,8.28,1.46,0.214,0.42
Zions Bancorp,ZION,43.03,51.67,8.64,0.201,0.42
"Vertex Pharmaceuticals, Inc.",VRTX,467.94,495.72,27.78,0.059,0.42
Vicor Corp.,VICR,33.21,42.11,8.9,0.268,0.42
"Western New England Bancorp, Inc.",WNEB,6.82,8.28,1.46,0.214,0.42
"Westwood Holdings Group, Inc.",WHG,12.2,13.27,1.07,0.088,0.42
"Zions Bancorporation, NA",ZION,43.03,51.67,8.64,0.201,0.42
Federal Agricultural Mortgage,AGM,180.46,206.22,25.76,0.143,0.41
Amalgamated Bank,AMAL,27.27,31.81,4.54,0.166,0.41
Amneal Pharmaceuticals,AMRX,6.35,7.33,0.98,0.154,0.41
American Tower REIT,AMT,194.4,220.4,26,0.134,0.41
American Water Works,AWK,129.48,142.36,12.88,0.099,0.41
Boston Properties,BXP,61.6,71.31,9.71,0.158,0.41
Eagle Materials,EXP,218.1,272.3,54.2,0.249,0.41
eXp World,EXPI,11.29,14.36,3.07,0.272,0.41
Fate Therapeutics,FATE,3.3,5.33,2.03,0.615,0.41
Innovative Industrial Properties,IIPR,108.95,122.81,13.86,0.127,0.41
Gartner,IT,450.91,501.19,50.28,0.112,0.41
KLX Energy Services,KLXE,5.01,6.89,1.88,0.375,0.41
L Brands,LB,21.96,32.97,11.01,0.501,0.41
Moody's,MCO,424.03,456.48,32.45,0.077,0.41
Navient,NAVI,14.5,16.41,1.91,0.132,0.41
Nasdaq,NDAQ,60.38,67.68,7.3,0.121,0.41
Nexstar Media,NXST,166.34,184.79,18.45,0.111,0.41
Orthofix International,OFIX,13.3,16.08,2.78,0.209,0.41
Plexus,PLXS,102.89,128.17,25.28,0.246,0.41
Safety Income & Growth,SAFE,19.24,23.14,3.9,0.203,0.41
ServisFirst Bancshares,SFBS,62.63,80.24,17.61,0.281,0.41
Universal Forest Products,UFPI,112.17,131.93,19.76,0.176,0.41
Viavi,VIAV,6.9,8.04,1.14,0.165,0.41
Waters Corp.,WAT,291.94,336.28,44.34,0.152,0.41
Cactus,WHD,53,63.12,10.12,0.191,0.41
Watts Water,WTS,183.94,207.52,23.58,0.128,0.41
The York Water,YORW,37.17,41.31,4.14,0.111,0.41
"Viavi Solutions, Inc.",VIAV,6.9,8.04,1.14,0.165,0.41
Waters Corp.,WAT,291.94,336.28,44.34,0.152,0.41
"Watts Water Technologies, Inc.",WTS,183.94,207.52,23.58,0.128,0.41
York Water Co.,YORW,37.17,41.31,4.14,0.111,0.41
Alico,ALCO,25.92,29.45,3.53,0.136,0.4
Ally Financial,ALLY,39.71,45.01,5.3,0.133,0.4
Avanos Medical,AVNS,20.06,23.92,3.86,0.192,0.4
Avantor,AVTR,21.28,26.75,5.47,0.257,0.4
Axos Financial,AX,57.2,73.01,15.81,0.276,0.4
Braemar Hotels & Resorts,BHR,2.57,3.55,0.98,0.381,0.4
Buckle,BKE,37.17,43.19,6.02,0.162,0.4
CMS Energy,CMS,59.82,64.8,4.98,0.083,0.4
Corbus Pharma,CRBP,44.9,59.47,14.57,0.324,0.4
Corvus Pharma,CRVS,1.81,2.57,0.76,0.42,0.4
California Water Service Holding,CWT,48.57,53.46,4.89,0.101,0.4
Citizens Community Bancorp,CZWI,11.46,12.94,1.48,0.129,0.4
EPR Properties,EPR,41.76,45,3.24,0.078,0.4
Exponent,EXPO,94.9,106.08,11.18,0.118,0.4
FS Bancorp,FSBW,36.25,44.03,7.78,0.215,0.4
Federal Signal,FSS,84.22,99.97,15.75,0.187,0.4
Fulton Financial,FULT,16.74,19.37,2.63,0.157,0.4
Henry Schein,HSIC,64.45,71.94,7.49,0.116,0.4
Hancock Whitney,HWC,47.69,54.73,7.04,0.148,0.4
Liquidity,LQDT,19.97,22.47,2.5,0.125,0.4
Lantronix,LTRX,3.55,4.1,0.55,0.155,0.4
Metropolitan Bank Holding,MCB,41.91,52.73,10.82,0.258,0.4
EnPro Industries,NPO,146.3,170.94,24.64,0.168,0.4
Northwest Natural Gas,NWN,36.09,39.98,3.89,0.108,0.4
Bank OZK,OZK,40.9,46.89,5.99,0.146,0.4
Patrick Industries,PATK,109.98,128.06,18.08,0.164,0.4
Resideo Technologies,REZI,19.64,22.72,3.08,0.157,0.4
Safety Insurance,SAFT,74.99,85.55,10.56,0.141,0.4
SunCoke Energy,SXC,9.9,11.7,1.8,0.182,0.4
TriCo Bancshares,TCBK,39.32,46.53,7.21,0.183,0.4
United Natural Foods,UNFI,13.07,15.5,2.43,0.186,0.4
United Health,UNH,506.75,576.16,69.41,0.137,0.4
Uniti Group,UNIT,2.9,3.84,0.94,0.324,0.4
AutoNation,AN,160.28,190.72,30.44,0.19,0.39
Aon PLC,AON,294.4,328.51,34.11,0.116,0.39
Ares Management,ARES,134.38,153.2,18.82,0.14,0.39
BCB Bancorp NJ,BCBP,10.6,12.68,2.08,0.196,0.39
Broadridge Financial,BR,197.57,214,16.43,0.083,0.39
First Busey,BUSE,24.06,27.44,3.38,0.14,0.39
Chimera Investment,CIM,12.74,14.61,1.87,0.147,0.39
CareTrust REIT,CTRE,25.06,26.96,1.9,0.076,0.39
Cognizant,CTSH,67.85,75.68,7.83,0.115,0.39
Camping World,CWH,17.88,22.88,5,0.28,0.39
First American,FAF,54.06,60.58,6.52,0.121,0.39
frontdoor,FTDR,33.77,39.46,5.69,0.168,0.39
HB Fuller,FUL,77.47,86.2,8.73,0.113,0.39
Greif Bros,GEF,57.9,66.68,8.78,0.152,0.39
Guess Inc,GES,20.57,24.05,3.48,0.169,0.39
Gorman-Rupp,GRC,36.91,41.31,4.4,0.119,0.39
MarketAxess,MKTX,200.55,223.53,22.98,0.115,0.39
Marsh and McLennan Companies,MMC,211.16,222.57,11.41,0.054,0.39
Molecular Templates,MTEM,1.15,1.45,0.3,0.264,0.39
Meritage,MTH,162.74,202.87,40.13,0.247,0.39
OneSpan,OSPN,12.89,14.8,1.91,0.148,0.39
Pulte Homes,PHM,110.49,132,21.51,0.195,0.39
Portland General Electric,POR,43.44,47.38,3.94,0.091,0.39
Regency Centers,REG,61.94,67.34,5.4,0.087,0.39
Redwood Trust,RWT,6.48,7.27,0.79,0.122,0.39
Standex International,SXI,161.71,186.8,25.09,0.155,0.39
Unifirst,UNF,171.49,194.54,23.05,0.134,0.39
Universal,UVV,48.41,53.42,5.01,0.103,0.39
Waterstone Financial,WSBF,12.84,14.92,2.08,0.162,0.39
"Waterstone Financial, Inc.",WSBF,12.84,14.92,2.08,0.162,0.39
Aehr Test,AEHR,11.22,18.87,7.65,0.682,0.38
Digital Turbine,APPS,1.65,2.38,0.73,0.442,0.38
Artesian Resources,ARTNA,35.44,39.17,3.73,0.105,0.38
AdvanSix,ASIX,22.98,27.97,4.99,0.217,0.38
Brookdale Senior Living,BKD,6.8,7.73,0.93,0.137,0.38
Brixmor Property,BRX,22.98,25.47,2.49,0.108,0.38
BlueLinx,BXC,92.91,120.59,27.68,0.298,0.38
CACI International,CACI,432.97,461.48,28.51,0.066,0.38
CB Financial,CBFV,22.15,25.25,3.1,0.14,0.38
Capitol Federal Financial,CFFN,5.51,6.32,0.81,0.147,0.38
Ducommun,DCO,58.2,64.17,5.97,0.103,0.38
DXP Enterprises,DXPE,46.05,54.76,8.71,0.189,0.38
Encompass Health,EHC,85.92,92.94,7.02,0.082,0.38
Evolus,EOLS,10.83,12.42,1.59,0.147,0.38
Forrester Research,FORR,17.08,20.19,3.11,0.182,0.38
Group 1 Automotive,GPI,298.65,365.72,67.07,0.225,0.38
Gates Industrial,GTES,15.88,18.59,2.71,0.171,0.38
Haynes International,HAYN,58.53,59.55,1.02,0.017,0.38
Hyster-Yale Materials Handling,HY,69.48,81.74,12.26,0.176,0.38
Information,III,2.95,3.47,0.52,0.176,0.38
Ingredion,INGR,114.24,124.37,10.13,0.089,0.38
Kingstone Companies,KINS,4.87,7.06,2.19,0.45,0.38
Lennar,LEN,150.51,176.93,26.42,0.176,0.38
Masco,MAS,66.84,77.85,11.01,0.165,0.38
Seres Therapeutics,MCRB,0.76,1.34,0.58,0.765,0.38
Insight Enterprises,NSIT,198.38,224.5,26.12,0.132,0.38
ONE Gas,OGS,64.08,69.63,5.55,0.087,0.38
Penske Automotive,PAG,149.15,174.11,24.96,0.167,0.38
Pool Corp.,POOL,307.33,374.04,66.71,0.217,0.38
Surgery Partners,SGRY,23.77,30.36,6.59,0.277,0.38
Standard Motor Products,SMP,27.95,32.73,4.78,0.171,0.38
Teledyne,TDY,389.66,421.86,32.2,0.083,0.38
Bio-Techne,TECH,71.78,81.59,9.81,0.137,0.38
Unum,UNM,51.62,57.53,5.91,0.114,0.38
United Rentals,URI,649.07,757.1,108.03,0.166,0.38
Universal Stainless and Alloy Products,USAP,27.23,37.52,10.29,0.378,0.38
Asbury Automotive,ABG,228.04,269.22,41.18,0.181,0.37
Acme United,ACU,35.32,45.15,9.83,0.278,0.37
Alarm.com,ALRM,63.62,70.55,6.93,0.109,0.37
Boise Cascade,BCC,119.65,142.09,22.44,0.188,0.37
Brink's,BCO,103.04,109.99,6.95,0.067,0.37
Builders FirstSource,BLDR,139.55,167.37,27.82,0.199,0.37
BOK Financial,BOKF,91.84,102.84,11,0.12,0.37
Cambridge Bancorp,CATC,69.3,NA,NA,NA,0.37
City Office REIT,CIO,4.98,6.05,1.07,0.215,0.37
Compass Minerals International,CMP,10.39,13.3,2.91,0.28,0.37
CONSOL Energy,CNX,24.41,26.47,2.06,0.084,0.37
PC Connection,CNXN,64.35,71.57,7.22,0.112,0.37
Corcept Therapeutics,CORT,32.49,38.67,6.18,0.19,0.37
Cyanotech,CYAN,0.33,0.84,0.51,1.536,0.37
Graphic Packaging Holding,GPK,26.27,30.1,3.83,0.146,0.37
Hanesbrands,HBI,4.98,5.94,0.96,0.193,0.37
HomeTrust Bancshares,HTBI,30.02,35.47,5.45,0.182,0.37
MVB Financial Corp.,MVBF,18.75,22.97,4.22,0.225,0.37
Myriad Genetics,MYGN,24.41,27.97,3.56,0.146,0.37
Nathan's Famous,NATH,68.38,75.05,6.67,0.098,0.37
NVE,NVEC,73.37,89.3,15.93,0.217,0.37
NVR,NVR,7636.99,8607.48,970.49,0.127,0.37
Northwest Pipe,NWPX,33.87,38.15,4.28,0.126,0.37
Ocwen Financial,OCN,23.34,28.72,5.38,0.231,0.37
Omega Healthcare Investors,OHI,34.12,36.4,2.28,0.067,0.37
Paychex,PAYX,118.97,128.02,9.05,0.076,0.37
Pitney Bowes,PBI,5.23,6.6,1.37,0.262,0.37
Paramount,PGRE,4.63,5.24,0.61,0.132,0.37
Douglas Dynamics,PLOW,23.43,28.91,5.48,0.234,0.37
SB Financial,SBFG,13.69,16.71,3.02,0.221,0.37
SJW,SJW,54.56,60.61,6.05,0.111,0.37
Snap-On,SNA,263,287.03,24.03,0.091,0.37
Tegna,TGNA,13.98,15.93,1.95,0.139,0.37
LendingTree,TREE,41.46,53.22,11.76,0.284,0.37
United Bancshares,UBOH,18.72,19.35,0.63,0.034,0.37
Unity Bancorp,UNTY,29.55,34.62,5.07,0.172,0.37
Verra Mobility,VRRM,27.29,30.13,2.84,0.104,0.37
Verra Mobility Corp.,VRRM,27.29,30.13,2.84,0.104,0.37
Anixa Biosciences,ANIX,2.2,3.32,1.12,0.509,0.36
ArcBest,ARCB,107.01,126.05,19.04,0.178,0.36
Astec Industries,ASTE,29.65,35.09,5.44,0.183,0.36
Adtalem Global Education,ATGE,68.38,78.41,10.03,0.147,0.36
Beazer Homes USA,BZH,27.63,33.67,6.04,0.219,0.36
Chubb,CB,256.93,275.66,18.73,0.073,0.36
CBOE,CBOE,172.04,183.51,11.47,0.067,0.36
CareDx,CDNA,15.53,19.99,4.46,0.287,0.36
Cytokinetics,CYTK,53.83,59.01,5.18,0.096,0.36
Diebold,DBD,38.76,43.55,4.79,0.124,0.36
Dropbox,DBX,22.42,23.92,1.5,0.067,0.36
Discover Financial,DFS,132,143.99,11.99,0.091,0.36
DTE Energy,DTE,111.44,120.53,9.09,0.082,0.36
First Guaranty Bancshares,FGBI,9.24,10.34,1.1,0.119,0.36
Fidelity National Financial,FNF,49.61,55.41,5.8,0.117,0.36
Gaia,GAIA,4.44,4.93,0.49,0.11,0.36
Acushnet,GOLF,63.77,72.58,8.81,0.138,0.36
HMN Financial,HMNF,22.75,26.4,3.65,0.16,0.36
Juniper Networks,JNPR,36.41,37.69,1.28,0.035,0.36
KB Home,KBH,70.5,86.08,15.58,0.221,0.36
Carmax,KMX,73.15,84.44,11.29,0.154,0.36
Kiniksa Pharmaceuticals,KNSA,18.47,26.6,8.13,0.44,0.36
Kite Realty Trust,KRG,22.34,24.66,2.32,0.104,0.36
Liberty TripAdvisor,LTRPA,0.49,0.58,0.09,0.184,0.36
Newmont Mining,NEM,42.1,49.07,6.97,0.166,0.36
Northrim BanCorp,NRIM,57.81,68.4,10.59,0.183,0.36
NV5 Global,NVEE,92.97,103.14,10.17,0.109,0.36
Primerica,PRI,238.3,251.77,13.47,0.057,0.36
Prudential Financial,PRU,118,125.32,7.32,0.062,0.36
Ryerson Holding,RYI,19.7,23.79,4.09,0.208,0.36
Shoe Carnival,SCVL,36.99,42.47,5.48,0.148,0.36
Southern First Bancshares,SFST,28.88,34.6,5.72,0.198,0.36
Solid Biosciences,SLDB,5.94,8.92,2.98,0.502,0.36
ShotSpotter,SSTI,12.12,15.46,3.34,0.276,0.36
STERIS,STE,222,238.76,16.76,0.075,0.36
Tejon Ranch Co,TRC,17.01,19,1.99,0.117,0.36
TrueCar,TRUE,3.13,3.66,0.53,0.169,0.36
UGI,UGI,23.01,24.78,1.77,0.077,0.36
Universal Health Realty Income Trust,UHT,39.14,42.75,3.61,0.092,0.36
Unisys,UIS,4.14,4.76,0.62,0.15,0.36
Union Pacific,UNP,226.14,246.73,20.59,0.091,0.36
Valley National Bancorp,VLY,6.95,8.4,1.45,0.209,0.36
Weyerhaeuser,WY,28.28,31.76,3.48,0.123,0.36
Valley National Bancorp,VLY,6.95,8.4,1.45,0.209,0.36
Weyerhaeuser Co.,WY,28.28,31.76,3.48,0.123,0.36
Aclaris Therapeutics,ACRS,1.1,1.34,0.24,0.218,0.35
Black Hills,BKH,54.5,59.05,4.55,0.083,0.35
CASI Pharma,CASI,5.39,7.25,1.86,0.345,0.35
Cintas,CTAS,704.27,763.94,59.67,0.085,0.35
Dominion Resources,D,49.09,53.46,4.37,0.089,0.35
Daily Journal SC,DJCO,393.11,465.6,72.49,0.184,0.35
Genesco,GCO,25.79,30.83,5.04,0.195,0.35
Investors Real Estate Trust,IRET,19.86,21.43,1.57,0.079,0.35
Iteris,ITI,4.25,4.91,0.66,0.155,0.35
JAKKS Pacific,JAKK,17.89,21.04,3.15,0.176,0.35
St. Joe Co.,JOE,54.7,61.68,6.98,0.128,0.35
Kennametal,KMT,23.56,26.14,2.58,0.11,0.35
Coca-Cola,KO,64.03,66.74,2.71,0.042,0.35
Loews,L,75.15,79.95,4.8,0.064,0.35
MSC Industrial Direct,MSM,79.81,88.95,9.14,0.115,0.35
Nature's Sunshine Products,NATR,15.04,17.11,2.07,0.138,0.35
Northrop Grumman,NOC,437.6,484.32,46.72,0.107,0.35
Quanex Building Products,NX,27.73,33.4,5.67,0.204,0.35
Oil States International,OIS,4.43,5.72,1.29,0.291,0.35
Pilgrim's Pride,PPC,38.61,41.23,2.62,0.068,0.35
PriceSmart,PSMT,81.24,91.33,10.09,0.124,0.35
Solaris Oilfield Infrastructure,SOI,8.57,13.15,4.58,0.534,0.35
SPS Commerce,SPSC,188.19,215.42,27.23,0.145,0.35
Trupanion,TRUP,29.6,37.06,7.46,0.252,0.35
VICI Properties,VICI,28.59,31.26,2.67,0.093,0.35
Vornado Realty Trust,VNO,26.19,29.99,3.8,0.145,0.35
Verint,VRNT,32.42,36.14,3.72,0.115,0.35
Washington Trust Bancorp,WASH,26.93,32.01,5.08,0.189,0.35
Weyco,WEYS,30.11,34.81,4.7,0.156,0.35
Xcel Energy,XEL,53.54,58.28,4.74,0.089,0.35
"Verint Systems, Inc.",VRNT,32.42,36.14,3.72,0.115,0.35
"VICI Properties, Inc.",VICI,28.59,31.26,2.67,0.093,0.35
Vornado Realty Trust,VNO,26.19,29.99,3.8,0.145,0.35
"Washington Trust Bancorp, Inc.",WASH,26.93,32.01,5.08,0.189,0.35
"Weyco Group, Inc.",WEYS,30.11,34.81,4.7,0.156,0.35
"Xcel Energy, Inc.",XEL,53.54,58.28,4.74,0.089,0.35
Akebia Therapeutics,AKBA,1.03,1.38,0.35,0.34,0.34
American Express,AXP,232.33,253.04,20.71,0.089,0.34
Saul Centers,BFS,36.78,39.55,2.77,0.075,0.34
"Business First Bancshares, Inc.",BFST,21.83,25.42,3.59,0.164,0.34
Brady,BRC,66.21,71.61,5.4,0.082,0.34
Caleres,CAL,33.78,38.56,4.78,0.142,0.34
Catalyst Pharma,CPRX,15.52,17.24,1.72,0.111,0.34
Crinetics Pharmaceuticals,CRNX,44.9,53.12,8.22,0.183,0.34
Designer Brands,DBI,6.86,8.16,1.3,0.19,0.34
NOW,DNOW,13.8,15.36,1.56,0.113,0.34
Ennis,EBF,21.92,23.84,1.92,0.088,0.34
Eagle Bancorp Montana,EBMT,13.2,14.57,1.37,0.104,0.34
EPAM,EPAM,186.42,215.13,28.71,0.154,0.34
Gilead Sciences,GILD,68.63,76.06,7.43,0.108,0.34
Hershey,HSY,184.49,197.48,12.99,0.07,0.34
IQVIA Holdings,IQV,212.64,246.23,33.59,0.158,0.34
Johnson and Johnson,JNJ,146.07,157.85,11.78,0.081,0.34
Gladstone Land,LAND,13.65,14.85,1.2,0.088,0.34
MDU Resources,MDU,25.22,26.94,1.72,0.068,0.34
Maximus,MMS,86.03,92.89,6.86,0.08,0.34
MRC Global,MRC,12.93,14.48,1.55,0.12,0.34
NewMarket,NEU,518.67,560.87,42.2,0.081,0.34
NN Inc,NNBR,3,3.92,0.92,0.307,0.34
Insperity,NSP,90.99,102.72,11.73,0.129,0.34
Pure Cycle,PCYO,9.54,11,1.46,0.153,0.34
Peoples Bancorp,PEBO,29.99,33.27,3.28,0.109,0.34
Public Serv.,PEG,74.34,79.77,5.43,0.073,0.34
Park-Ohio,PKOH,25.86,31.22,5.36,0.207,0.34
Pacific Premier Bancorp,PPBI,22.78,27.06,4.28,0.188,0.34
RE-MAX Holdings,RMAX,8.16,9.65,1.49,0.183,0.34
Revance Therapeutics,RVNC,2.57,3.78,1.21,0.471,0.34
Spire,SR,60.88,66.59,5.71,0.094,0.34
Taitron Components,TAIT,2.71,2.93,0.22,0.082,0.34
ACI Worldwide,ACIW,39.58,43.23,3.65,0.092,0.33
Accenture,ACN,303.73,330.62,26.89,0.089,0.33
Applied Industrial,AIT,194.76,218.19,23.43,0.12,0.33
AMC Networks,AMCX,9.66,11.13,1.47,0.152,0.33
Amgen,AMGN,313.34,332.47,19.13,0.061,0.33
Axis Capital,AXS,71.16,75.75,4.59,0.065,0.33
Crown,CCK,74.83,88.7,13.87,0.185,0.33
Capital One,COF,138.8,151.4,12.6,0.091,0.33
Enterprise Bancorp,EBTC,24.66,29.55,4.89,0.198,0.33
8x8,EGHT,2.21,3.08,0.87,0.394,0.33
AXA Equitable,EQH,41.07,43.61,2.54,0.062,0.33
FNB Corp,FNB,13.68,15.34,1.66,0.121,0.33
German American Bancorp,GABC,35.09,39.34,4.25,0.121,0.33
Great Southern Bancorp,GSBC,55.42,62.61,7.19,0.13,0.33
Haverty Furniture Companies,HVT,25.15,29.27,4.12,0.164,0.33
Interpublic of Companies,IPG,29.07,32.17,3.1,0.107,0.33
Ingersoll-Rand,IR,92.06,100.4,8.34,0.091,0.33
Korn-Ferry International,KFY,67.46,73.72,6.26,0.093,0.33
Kratos Defense and Security,KTOS,19.98,22.54,2.56,0.128,0.33
Liberty Oilfield Services,LBRT,20.95,24.15,3.2,0.153,0.33
LGI Homes,LGIH,89.5,115.07,25.57,0.286,0.33
Liberty Global,LILAK,9.62,10.6,0.98,0.102,0.33
Lowe's,LOW,219.44,245.51,26.07,0.119,0.33
LSI Industries,LYTS,14.45,17.06,2.61,0.181,0.33
McKesson,MCK,586.42,617.02,30.6,0.052,0.33
Monarch Casino and Resort,MCRI,67.9,78.28,10.38,0.153,0.33
Northern Oil and Gas,NOG,37.75,43.19,5.44,0.144,0.33
Paylocity Holding,PCTY,131.46,150.07,18.61,0.142,0.33
Progress Software,PRGS,54.09,58.4,4.31,0.08,0.33
Repligen,RGEN,125.94,167.35,41.41,0.329,0.33
Steelcase,SCS,13.04,14.49,1.45,0.111,0.33
Schneider National,SNDR,24.22,26.91,2.69,0.111,0.33
Security National Financial,SNFCA,7.7,8.25,0.55,0.071,0.33
Synchrony Financial,SYF,47.42,50.79,3.37,0.071,0.33
TFS Financial,TFSL,12.51,13.56,1.05,0.084,0.33
Thor Industries,THO,93.89,106.14,12.25,0.13,0.33
Tennant,TNC,98.73,107.69,8.96,0.091,0.33
Trinity Industries,TRN,29.9,33.06,3.16,0.106,0.33
Virco Manufacturing,VIRC,13.99,17.6,3.61,0.258,0.33
United States Steel,X,37.85,41.09,3.24,0.086,0.33
Zebra,ZBRA,308.82,351.19,42.37,0.137,0.33
Virco Manufacturing Corp.,VIRC,13.99,17.6,3.61,0.258,0.33
Zebra Technologies Corp.,ZBRA,308.82,351.19,42.37,0.137,0.33
Allete,ALE,62.57,64.5,1.93,0.031,0.32
Amedisys,AMED,95.3,98.05,2.75,0.029,0.32
AxoGen,AXGN,7.5,8.78,1.28,0.171,0.32
Brandywine Realty Trust,BDN,4.51,5.04,0.53,0.118,0.32
Bright Horizons Family,BFAM,109.87,120.25,10.38,0.094,0.32
Bank of Marin Bancorp,BMRC,16.25,20.31,4.06,0.25,0.32
Boyd Gaming,BYD,55.11,60.87,5.76,0.105,0.32
Centene,CNC,66.31,76.92,10.61,0.16,0.32
Collegium Pharmaceutical,COLL,32.46,38.57,6.11,0.188,0.32
eGain,EGAN,6.33,7.25,0.92,0.145,0.32
Vaalco Energy,EGY,6.34,7.16,0.82,0.129,0.32
Essential Properties Realty Trust,EPRT,27.66,29.59,1.93,0.07,0.32
Hawaiian Electric Industries,HE,9.14,16.56,7.42,0.812,0.32
Hudson Pacific Properties,HPP,4.86,5.99,1.13,0.233,0.32
InterDigital,IDCC,117.09,122.76,5.67,0.048,0.32
IDT,IDT,35.92,38.23,2.31,0.064,0.32
Illumina,ILMN,104.19,122.6,18.41,0.177,0.32
Inter Parfums,IPAR,118.01,140.68,22.67,0.192,0.32
Issuer Direct,ISDR,7.85,9.53,1.68,0.214,0.32
Kearny Financial,KRNY,6.09,7.2,1.11,0.182,0.32
Ladder Capital,LADR,11.28,12,0.72,0.064,0.32
Lexicon Pharma,LXRX,1.68,2.25,0.57,0.339,0.32
Mercantile Bank,MBWM,40.49,48.36,7.87,0.194,0.32
Materion,MTRN,108.48,120.43,11.95,0.11,0.32
Norfolk Southern,NSC,214.9,249.56,34.66,0.161,0.32
NorthWestern,NWE,49.99,53.77,3.78,0.076,0.32
New York Mortgage Trust,NYMT,5.84,6.48,0.64,0.11,0.32
PDL Community Bancorp,PDLB,9.15,9.9,0.75,0.082,0.32
Preferred Bank,PFBC,75.32,86.06,10.74,0.143,0.32
Penns Woods Bancorp,PWOD,20.06,23.82,3.76,0.187,0.32
Ring Energy,REI,1.7,1.97,0.27,0.159,0.32
RPM International,RPM,107.95,121.46,13.51,0.125,0.32
SITE Centers,SITC,14.45,15.45,1,0.069,0.32
Sempra Energy,SRE,76.14,80.06,3.92,0.051,0.32
Titan International,TWI,7.35,8.52,1.17,0.159,0.32
"VAALCO Energy, Inc.",EGY,6.34,7.16,0.82,0.129,0.32
Armada Hoffler Properties,AHH,11.07,11.88,0.81,0.073,0.31
ATN International,ATNI,22.59,29.67,7.08,0.313,0.31
Cerus,CERS,1.72,2.26,0.54,0.314,0.31
Charter Communications,CHTR,292.8,379.72,86.92,0.297,0.31
CNA Financial,CNA,46.3,49.16,2.86,0.062,0.31
"Fidelity D & D Bancorp, Inc.",FDBC,43.86,51.9,8.04,0.183,0.31
SPX FLOW,FLOW,29.81,31.92,2.12,0.071,0.31
Farmers & Merchants Bancorp,FMAO,23.15,27.53,4.38,0.189,0.31
Guardant Health,GH,28.95,35.13,6.18,0.213,0.31
Gray Television,GTN,5.2,6.43,1.23,0.237,0.31
Getty Realty,GTY,26.58,29.62,3.04,0.114,0.31
Hawkins,HWKN,91.06,103.9,12.84,0.141,0.31
Inovio Pharma,INO,8.13,10.66,2.53,0.311,0.31
Intra-Cellular Therapies,ITCI,68.38,78.72,10.34,0.151,0.31
ITT Inc,ITT,130.52,141.46,10.94,0.084,0.31
JBG Smith Properties,JBGS,15.21,16.35,1.14,0.075,0.31
Kforce,KFRC,62.29,69.47,7.18,0.115,0.31
Leggett and Platt,LEG,11.56,13.17,1.61,0.139,0.31
Matthews International,MATW,25.15,28.95,3.8,0.151,0.31
Match,MTCH,30.34,38.14,7.8,0.257,0.31
Nordson,NDSN,231.78,250.33,18.55,0.08,0.31
OceanFirst Financial,OCFC,15.78,18.17,2.39,0.151,0.31
Ocular Therapeutix,OCUL,6.85,8.46,1.61,0.235,0.31
Oconee Federal Financial,OFED,12.6,13,0.4,0.032,0.31
Owens and Minor,OMI,13.52,16.42,2.9,0.214,0.31
Potlatch,PCH,39.23,44.36,5.13,0.131,0.31
Parker-Hannifin,PH,513.45,561.16,47.71,0.093,0.31
Post,POST,104.59,109.36,4.77,0.046,0.31
Perrigo,PRGO,25.87,28.27,2.4,0.093,0.31
Proto Labs,PRLB,30.89,34.82,3.93,0.127,0.31
Ryder System,R,124.4,140.16,15.76,0.127,0.31
Rocket Pharmaceuticals,RCKT,21.34,24.2,2.86,0.134,0.31
